2025-03-19 05:39:12,997 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,083 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,110 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,157 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,207 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,270 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,298 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,325 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,416 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,451 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,489 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,515 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,590 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,626 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,688 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,719 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,825 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,906 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:13,957 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,005 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,081 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,109 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,173 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,213 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,288 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,324 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,390 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,447 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,490 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,532 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,570 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,617 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,681 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,728 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,791 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,856 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,959 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:14,997 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,060 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,102 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,156 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,207 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,263 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,349 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,424 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,488 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,524 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,599 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,630 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,675 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,745 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,826 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,884 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,918 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:15,972 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,003 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,033 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,108 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,185 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,219 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,290 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,378 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,423 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,511 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,535 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,602 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,625 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,694 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,786 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,835 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,924 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:16,979 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,001 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,078 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,104 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,166 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,210 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,284 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,332 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,400 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,456 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,496 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,520 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,578 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,652 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,723 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,796 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,877 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,921 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:17,968 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,038 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,107 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,170 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,212 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,297 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,322 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,369 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,415 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,460 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:18,497 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,398 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,432 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,522 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,597 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,628 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,698 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,756 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,829 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:21,954 - Position: x=-107.12, y=103.11, angle=0.00бу
